major,minor,patch,linearized,ts,frac
3, 0, 0, 3.000000, 1351031410, 0.017600
3, 0, 6, 3.020979, 1357354267, 0.149400
3, 1, 2, 3.052448, 1365794067, 0.146700
3, 2, 6, 3.111888, 1370218557, 0.086800
3, 3, 1, 3.139860, 1372347178, 0.002200
3, 3, 6, 3.157343, 1377636562, 0.298100
3, 3, 8, 3.164336, 1378134076, 0.156400
3, 4, 8, 3.209790, 1389675075, 0.356800
3, 5, 0, 3.227273, 1394146716, 0.177200
3, 5, 1, 3.230769, 1395781146, 0.150400
4, 0, 0, 4.000000, 1397075967, 0.097000
3, 5, 2, 3.234266, 1398372039, 0.231800
4, 1, 1, 4.048951, 1398642627, 0.166000
3, 5, 3, 3.237762, 1399571597, 0.056000
4, 1, 2, 4.052448, 1399574689, 0.188600
3, 6, 0, 3.272727, 1399669642, 0.159200
4, 2, 0, 4.090909, 1399860253, 0.151300
3, 8, 0, 3.363636, 1400652520, 0.154100
4, 3, 1, 4.139860, 1400886780, 0.148100
3, 8, 1, 3.367133, 1401248620, 0.154200
4, 3, 2, 4.143357, 1401337238, 0.168600
3, 9, 0, 3.409091, 1401500303, 0.145000
4, 4, 1, 4.185315, 1401758869, 0.165200
4, 4, 2, 4.188811, 1402360985, 0.191600
3, 10, 5, 3.472028, 1402547768, 0.000100
4, 4, 3, 4.192308, 1402548170, 0.195400
3, 11, 0, 3.500000, 1403235840, 0.149100
4, 4, 4, 4.195804, 1403298828, 0.215200
3, 12, 1, 3.548951, 1403828398, 0.000200
4, 4, 5, 4.199301, 1403841262, 0.262900
3, 13, 0, 3.590909, 1404450498, 0.140700
4, 5, 1, 4.230769, 1404690478, 0.257700
3, 14, 0, 3.636364, 1405099865, 0.139500
4, 6, 1, 4.276224, 1405217991, 0.258000
3, 15, 0, 3.681818, 1406092097, 0.143800
4, 7, 0, 4.318182, 1406338492, 0.267700
4, 7, 1, 4.321678, 1406415764, 0.267600
3, 15, 2, 3.688811, 1406490903, 0.143600
4, 7, 4, 4.332168, 1407191131, 0.297200
4, 8, 0, 4.363636, 1407307806, 0.282700
4, 8, 1, 4.367133, 1407363607, 0.283200
4, 8, 2, 4.370629, 1407427446, 0.284100
4, 8, 3, 4.374126, 1407724147, 0.290600
4, 8, 4, 4.377622, 1408076725, 0.303000
4, 8, 5, 4.381119, 1408417535, 0.307000
4, 8, 6, 4.384615, 1409190766, 0.336400
4, 8, 7, 4.388112, 1409377073, 0.332700
3, 16, 10, 3.762238, 1409897810, 0.000100
4, 8, 8, 4.391608, 1409898337, 0.334600
4, 9, 0, 4.409091, 1410237199, 0.322900
3, 17, 2, 3.779720, 1410851937, 0.129000
4, 9, 2, 4.416084, 1411012330, 0.333400
4, 9, 3, 4.419580, 1411062335, 0.325700
4, 9, 4, 4.423077, 1411193244, 0.334600
4, 9, 5, 4.426573, 1411604689, 0.345700
3, 17, 7, 3.797203, 1412803355, 0.132900
4, 9, 7, 4.433566, 1412973814, 0.389200
3, 17, 8, 3.800699, 1413434213, 0.136900
4, 9, 8, 4.437063, 1413597906, 0.397800
3, 18, 1, 3.821678, 1414042226, 0.119800
4, 10, 0, 4.454545, 1414118191, 0.361000
3, 18, 2, 3.825175, 1414559645, 0.078900
4, 10, 1, 4.458042, 1414560069, 0.335700
4, 10, 2, 4.461538, 1415578228, 0.411400
3, 18, 4, 3.832168, 1416775970, 0.121000
4, 10, 5, 4.472028, 1418274482, 0.441100
3, 18, 6, 3.839161, 1418438759, 0.116600
4, 10, 7, 4.479021, 1420418438, 0.441200
3, 19, 0, 3.863636, 1420785381, 0.134100
4, 10, 8, 4.482517, 1421171303, 0.056600
4, 11, 0, 4.500000, 1421209316, 0.410700
4, 11, 1, 4.503497, 1421829293, 0.417400
3, 19, 2, 3.870629, 1422822245, 0.000100
4, 11, 2, 4.506993, 1422823510, 0.438200
3, 20, 0, 3.909091, 1424314409, 0.113400
4, 12, 0, 4.545455, 1424674719, 0.436700
3, 20, 1, 3.912587, 1425183800, 0.108400
4, 12, 2, 4.552448, 1425361590, 0.450700
3, 20, 2, 3.916084, 1426568788, 0.104600
4, 12, 3, 4.555944, 1426629893, 0.474000
3, 20, 3, 3.919580, 1431922006, 0.000100
4, 12, 4, 4.559441, 1431924075, 0.483600
3, 21, 0, 3.954545, 1434678148, 0.097500
4, 13, 0, 4.590909, 1434869418, 0.454200
3, 21, 1, 3.958042, 1436158530, 0.055700
4, 13, 1, 4.594406, 1436161380, 0.429600
3, 21, 2, 3.961538, 1438373854, 0.097700
