major,minor,patch,linearized,count,avg_time,min_time,max_time
0,0,0,0.000000,19885,281096.293600,0.000000,124062452.000000
0,0,1,0.142857,67259,336522.289600,0.000000,123925285.000000
0,0,10,0.294118,5138,6878718.618300,0.000000,122681298.000000
0,0,11,0.297297,4285,7044923.590900,0.000000,130032014.000000
0,0,12,0.300000,3659,7422797.064800,0.000000,128710602.000000
0,0,13,0.302326,2976,7632068.773200,0.000000,128934688.000000
0,0,14,0.304348,2617,7925991.414600,0.000000,122702426.000000
0,0,15,0.306122,2275,8084804.111200,0.000000,123825149.000000
0,0,16,0.307692,1943,8521285.296400,0.000000,131784874.000000
0,0,17,0.309091,1726,8914967.786800,0.000000,132054456.000000
0,0,18,0.310345,1546,8957645.742600,0.000000,134127827.000000
0,0,19,0.311475,1395,8851191.622900,0.000000,122717841.000000
0,0,2,0.200000,45743,1562199.394200,0.000000,127239184.000000
0,0,20,0.312500,1304,9398724.040600,0.000000,122718637.000000
0,0,21,0.313433,1257,8881811.912500,0.000000,122725668.000000
0,0,22,0.314286,1104,9254842.653100,0.000000,122805314.000000
0,0,23,0.315068,1014,9552652.673600,0.000000,122855846.000000
0,0,24,0.315789,914,9585727.341400,0.000000,122857912.000000
0,0,25,0.316456,846,9965896.543700,0.000000,122859370.000000
0,0,26,0.317073,783,10100466.528700,0.000000,122860501.000000
0,0,27,0.317647,664,10603040.257500,0.000000,124623752.000000
0,0,28,0.318182,659,10524371.559900,0.000000,122871255.000000
0,0,29,0.318681,592,10789747.959500,0.000000,122877342.000000
0,0,3,0.230769,33172,2640339.260300,0.000000,138665887.000000
0,0,30,0.319149,579,10781839.678800,0.000000,122969518.000000
0,0,31,0.319588,603,10049296.049800,0.000000,123009918.000000
0,0,32,0.320000,546,11847904.723400,0.000000,123013115.000000
0,0,33,0.320388,433,12610309.981500,0.000000,123024537.000000
0,0,34,0.320755,398,12495355.356800,0.000000,123025042.000000
0,0,35,0.321101,377,12803978.214900,0.000000,123025110.000000
0,0,36,0.321429,352,13195323.193200,0.000000,123507622.000000
0,0,37,0.321739,315,13721343.349200,0.000000,123886110.000000
0,0,38,0.322034,287,14041798.515700,0.000000,126203652.000000
0,0,39,0.322314,258,14041777.116300,0.000000,126230018.000000
0,0,4,0.250000,24689,3575217.105000,0.000000,127236184.000000
0,0,40,0.322581,271,13274820.509200,0.000000,126369462.000000
0,0,41,0.322835,299,12022004.612000,0.000000,129089819.000000
0,0,42,0.323077,261,12794100.590000,0.000000,142735081.000000
0,0,43,0.323308,243,13378752.642000,0.000000,126878349.000000
0,0,44,0.323529,227,13791452.088100,904.000000,127311312.000000
0,0,45,0.323741,219,13216386.812800,0.000000,127311566.000000
0,0,46,0.323944,192,14508856.869800,90.000000,127345729.000000
0,0,47,0.324138,182,14300830.335200,0.000000,95358877.000000
0,0,48,0.324324,164,13433189.902400,8791.000000,81700961.000000
0,0,49,0.324503,160,13355747.706300,0.000000,81701671.000000
0,0,5,0.263158,19223,4401816.172300,0.000000,146195618.000000
0,0,50,0.324675,173,13562748.011600,439.000000,81704129.000000
0,0,51,0.324841,196,11984549.795900,0.000000,88809298.000000
0,0,52,0.325000,159,12958335.660400,387.000000,101283051.000000
0,0,53,0.325153,150,13764671.213300,0.000000,105181412.000000
0,0,54,0.325301,147,14450118.768700,407.000000,106388322.000000
0,0,55,0.325444,149,14500703.671100,0.000000,108633419.000000
0,0,56,0.325581,132,15310484.992400,0.000000,93901783.000000
0,0,57,0.325714,129,15709955.945700,70.000000,96438820.000000
0,0,58,0.325843,111,15837231.459500,0.000000,81822502.000000
0,0,6,0.272727,14859,5155059.472600,0.000000,137361825.000000
0,0,60,0.326087,107,16803871.588800,0.000000,97010886.000000
0,0,61,0.326203,126,13944814.523800,0.000000,104283241.000000
0,0,62,0.326316,115,15623366.713000,2995.000000,118377768.000000
0,0,63,0.326425,104,15768835.240400,2534.000000,118392215.000000
0,0,7,0.280000,11609,5583336.448700,0.000000,130032245.000000
