major,minor,patch,linearized,count
1, 2, 8, 1.583333, 331
0, 27, 1, 0.931818, 26
0, 1, 112, 0.497797, 14
0, 7, 97, 0.799595, 3
43, 1, 0, 43.333333, 1
1, 0, 863, 1.332819, 2
2, 0, 46, 2.323944, 7
0, 91, 31, 0.978710, 1
1, 1, 254, 1.499022, 1
1, 0, 20140918, 1.333333, 1
0, 91, 75, 0.978718, 2
0, 2, 102, 0.598456, 3
0, 8, 43, 0.817444, 12
3, 20, 3, 3.911504, 3
0, 0, 473, 0.332396, 2
2, 1, 20, 2.488372, 17
0, 1, 665, 0.499625, 1
1, 4, 28, 1.711538, 6
0, 5, 315, 0.749803, 1
1, 0, 484, 1.332418, 1
4, 0, 22, 4.314286, 4
0, 1, 155, 0.498403, 8
0, 7, 4, 0.793103, 654
3, 15, 5, 3.887097, 2
0, 3, 108, 0.665653, 4
2014, 260, 1045, 2014.992395, 1
21, 11, 0, 21.846154, 1
0, 7, 514, 0.799922, 1
1, 1, 91, 1.497297, 3
0, 2, 451, 0.599646, 1
22, 35, 0, 22.945946, 1
1, 0, 1422469041298, 1.333333, 1
0, 8, 80, 0.817778, 7
0, 0, 318, 0.331942, 1
0, 58, 1, 0.966851, 1
2014, 10, 9, 2014.843972, 1
6, 10, 3, 6.841270, 1
2014, 263, 245, 2014.992481, 1
0, 20150528, 0, 1.000000, 1
0, 66, 77, 0.971004, 1
1, 0, 3, 1.230769, 10592
2014, 264, 1330, 2014.992509, 1
0, 23, 41, 0.922939, 1
0, 1, 294, 0.499154, 5
0, 29, 8, 0.937107, 1
0, 3, 11, 0.657895, 516
0, 9, 102, 0.833066, 2
0, 0, 1338, 0.333001, 2
3, 1, 59, 3.495868, 2
43, 3, 4, 43.647059, 1
6, 5, 28, 6.747899, 1
2014, 263, 1645, 2014.992481, 1
1, 0, 1442360414266, 1.333333, 1
1, 0, 1418157221855, 1.333333, 1
2014, 262, 130, 2014.992452, 1
0, 93, 2, 0.979058, 2
0, 143, 2, 0.986254, 1
0, 1, 1338, 0.499813, 1
1, 7, 75, 1.799479, 1
2013, 10, 19, 2013.845018, 5
1, 37, 2, 1.949367, 1
0, 10, 28, 0.845361, 17
0, 0, 147, 0.330337, 8
3, 0, 59, 3.325967, 1
2014, 264, 1715, 2014.992509, 1
0, 38, 10, 0.951020, 1
1, 0, 1429902701044, 1.333333, 1
2014, 260, 945, 2014.992395, 1
2, 9, 14, 2.831579, 1
2014, 260, 1930, 2014.992395, 1
5, 1, 3, 5.444444, 46
1, 0, 174, 1.330798, 2
0, 1, 321, 0.499225, 5
1, 12, 6, 1.864407, 13
0, 3, 150, 0.665934, 3
0, 25, 3, 0.927536, 16
0, 9, 129, 0.833121, 3
0, 5, 227, 0.749727, 1
3, 7, 19, 3.798077, 1
2014, 262, 2115, 2014.992453, 1
1, 0, 30000045, 1.333333, 1
17, 4, 0, 17.666667, 1
2, 2, 40, 2.596154, 1
0, 7, 842, 0.799953, 1
0, 8, 282, 0.818065, 1
1, 0, 30000182, 1.333333, 1
0, 4, 88, 0.713376, 3
0, 0, 232, 0.331429, 5
12, 11, 1411, 12.857128, 1
2015, 5, 27, 2015.747826, 1
0, 1, 1002, 0.499751, 3
3, 18, 5, 3.903448, 1
6, 8, 4, 6.812500, 3
2014, 2, 3, 2014.565217, 1
2, 3, 22, 2.661972, 8
0, 0, 758, 0.332748, 1
0, 1, 492, 0.499493, 1
2, 27, 4, 2.932584, 1
1, 6, 30, 1.776224, 2
2014, 106, 5, 2014.981603, 1
13, 1, 1, 13.400000, 4
2014, 265, 1545, 2014.992537, 1
0, 5, 6, 0.741935, 894
3, 13, 3, 3.871795, 2
1, 0, 30000072, 1.333333, 1
2014, 260, 130, 2014.992395, 1
2015, 7, 5, 2015.794118, 3
2014, 259, 1130, 2014.992366, 1
2, 0, 92, 2.328571, 2
2014, 118, 21, 2014.983459, 1
0, 0, 666666, 0.333333, 1
1, 10, 31, 1.845433, 1
