major,minor,patch,linearized,released
1, 0, 1, 1.142857, 1293651505
1, 0, 2, 1.200000, 1294711770
1, 0, 3, 1.230769, 1294956548
1, 0, 4, 1.250000, 1296933195
1, 0, 5, 1.263158, 1296933391
1, 0, 6, 1.272727, 1297115132
1, 0, 7, 1.280000, 1297117611
1, 0, 8, 1.285714, 1299034694
2, 0, 0, 2.000000, 1300410400
2, 1, 0, 2.333333, 1300999666
2, 1, 1, 2.400000, 1301420433
2, 2, 0, 2.500000, 1301510456
2, 2, 1, 2.538462, 1301945030
2, 2, 2, 2.555556, 1302601498
2, 3, 0, 2.600000, 1303750201
2, 3, 1, 2.625000, 1303856787
2, 3, 2, 2.636364, 1303920814
2, 3, 3, 2.642857, 1304447499
2, 3, 4, 2.647059, 1304877245
2, 3, 5, 2.650000, 1305857257
2, 3, 6, 2.652174, 1305909730
2, 3, 7, 2.653846, 1306191266
2, 3, 8, 2.655172, 1306299197
2, 3, 9, 2.656250, 1306343915
2, 3, 10, 2.657143, 1306513213
2, 3, 11, 2.657895, 1307209890
2, 3, 12, 2.658537, 1308776190
2, 4, 0, 2.666667, 1309279291
2, 4, 1, 2.684211, 1309971435
2, 4, 2, 2.692308, 1310008553
2, 4, 3, 2.696970, 1310673526
2, 4, 4, 2.700000, 1312543840
2, 4, 5, 2.702128, 1313773991
2, 4, 6, 2.703704, 1314033621
2, 4, 7, 2.704918, 1317854521
2, 5, 0, 2.714286, 1319497262
2, 5, 1, 2.727273, 1321632280
2, 5, 2, 2.733333, 1323544182
2, 5, 3, 2.736842, 1325287884
2, 5, 4, 2.739130, 1325522162
2, 5, 5, 2.740741, 1326054716
2, 5, 6, 2.741935, 1326498027
2, 5, 7, 2.742857, 1328551615
2, 5, 8, 2.743590, 1328731713
2, 5, 9, 2.744186, 1333419689
2, 5, 10, 2.744681, 1339800687
2, 5, 11, 2.745098, 1341426247
3, 0, 0, 3.000000, 1351031410
3, 0, 1, 3.142857, 1351816072
3, 0, 2, 3.200000, 1352394954
3, 0, 3, 3.230769, 1352826839
3, 0, 4, 3.250000, 1354756232
3, 0, 5, 3.263158, 1355953537
3, 0, 6, 3.272727, 1357354267
3, 1, 0, 3.333333, 1359174456
3, 1, 1, 3.400000, 1364840775
3, 1, 2, 3.428571, 1365794067
3, 2, 0, 3.500000, 1366054507
3, 2, 1, 3.538462, 1367288250
3, 2, 2, 3.555556, 1367610921
3, 2, 3, 3.565217, 1367938537
3, 2, 4, 3.571429, 1368116312
3, 2, 5, 3.575758, 1369195347
3, 2, 6, 3.578947, 1370218557
3, 3, 0, 3.600000, 1372266473
3, 3, 1, 3.625000, 1372347178
3, 3, 2, 3.636364, 1372875958
3, 3, 3, 3.642857, 1372970414
3, 3, 4, 3.647059, 1373319773
3, 3, 5, 3.650000, 1376171481
3, 3, 6, 3.652174, 1377636562
3, 3, 7, 3.653846, 1377709482
3, 3, 8, 3.655172, 1378134076
3, 4, 0, 3.666667, 1378581910
3, 4, 1, 3.684211, 1381887273
3, 4, 2, 3.692308, 1382148284
3, 4, 3, 3.696970, 1382552397
3, 4, 4, 3.700000, 1383068059
3, 4, 5, 3.702128, 1385596494
3, 4, 6, 3.703704, 1385929282
3, 4, 7, 3.704918, 1386748673
3, 4, 8, 3.705882, 1389675075
3, 5, 0, 3.714286, 1394146716
3, 5, 1, 3.727273, 1395781146
4, 0, 0, 4.000000, 1397075967
4, 1, 0, 4.333333, 1398377872
4, 1, 1, 4.400000, 1398642627
4, 1, 2, 4.428571, 1399574689
4, 2, 0, 4.500000, 1399860253
4, 3, 0, 4.600000, 1400652880
4, 3, 1, 4.625000, 1400886780
4, 3, 2, 4.636364, 1401337238
4, 4, 0, 4.666667, 1401508941
4, 4, 1, 4.684211, 1401758869
4, 4, 2, 4.692308, 1402360985
4, 4, 3, 4.696970, 1402548170
4, 4, 4, 4.700000, 1403298828
4, 4, 5, 4.702128, 1403841262
4, 5, 0, 4.714286, 1404522276
4, 5, 1, 4.727273, 1404690478
4, 6, 0, 4.750000, 1405136430
4, 6, 1, 4.760000, 1405217991
4, 7, 0, 4.777778, 1406338492
4, 7, 1, 4.785714, 1406415764
4, 7, 2, 4.789474, 1406491366
4, 7, 3, 4.791667, 1407183209
4, 7, 4, 4.793103, 1407191131
4, 8, 0, 4.800000, 1407307806
4, 8, 1, 4.806452, 1407363607
4, 8, 2, 4.809524, 1407427446
4, 8, 3, 4.811321, 1407724147
4, 8, 4, 4.812500, 1408076725
4, 8, 5, 4.813333, 1408417535
4, 8, 6, 4.813953, 1409190766
4, 8, 7, 4.814433, 1409377073
4, 8, 8, 4.814815, 1409898337
4, 9, 0, 4.818182, 1410237199
4, 9, 1, 4.823529, 1410936871
4, 9, 2, 4.826087, 1411012330
4, 9, 3, 4.827586, 1411062335
4, 9, 4, 4.828571, 1411193244
4, 9, 5, 4.829268, 1411604689
4, 9, 6, 4.829787, 1412822155
4, 9, 7, 4.830189, 1412973814
4, 9, 8, 4.830508, 1413597906
4, 10, 0, 4.833333, 1414118191
4, 10, 1, 4.837838, 1414560069
4, 10, 2, 4.840000, 1415578228
4, 10, 3, 4.841270, 1416798752
4, 10, 4, 4.842105, 1416892771
4, 10, 5, 4.842697, 1418274482
4, 10, 6, 4.843137, 1418444234
4, 10, 7, 4.843478, 1420418438
4, 10, 8, 4.843750, 1421171303
4, 11, 0, 4.846154, 1421209316
4, 11, 1, 4.850000, 1421829293
4, 11, 2, 4.851852, 1422823510
4, 12, 0, 4.857143, 1424674719
4, 12, 1, 4.860465, 1425258811
4, 12, 2, 4.862069, 1425361590
4, 12, 3, 4.863014, 1426629893
4, 12, 4, 4.863636, 1431924075
4, 13, 0, 4.866667, 1434869418
4, 13, 1, 4.869565, 1436161380
4, 13, 2, 4.870968, 1438377050
4, 13, 3, 4.871795, 1438578281
